YEAR,MONTH,DAY,DATE,SITE,TRANSECT,SIDE,DISTANCE,SP_CODE_0,SP_CODE_1,SP_CODE_2,SP_CODE_3,SP_CODE_4,SP_CODE_5,SUBSTRTE,OBSERVER,NOTES,ENTERED BY,CHECKED BY
2017,8,31,8/31/17,Ft. Weatherill,3,I,2,CF,HJ,COTR,,,,BL,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,31,8/31/17,Ft. Weatherill,3,O,2,GRAM,,,,,,BS,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,31,8/31/17,Ft. Weatherill,3,I,3,PAPA,COTR,HJ,,,,BL,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,31,8/31/17,Ft. Weatherill,3,O,3,COTR,HJ,,,,,SH,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,31,8/31/17,Ft. Weatherill,3,I,4,COTR,,,,,,BL,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,31,8/31/17,Ft. Weatherill,3,O,4,COTR,,,,,,SH,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,31,8/31/17,Ft. Weatherill,3,I,5,GRAM,,,,,,BS,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,31,8/31/17,Ft. Weatherill,3,O,5,HJ,COTR,,,,,BS,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,31,8/31/17,Ft. Weatherill,3,I,6,COTR,,,,,,BL,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,31,8/31/17,Ft. Weatherill,3,O,6,COTR,,,,,,BM,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,31,8/31/17,Ft. Weatherill,3,I,7,SL,COTR,ASPO,,,,BL,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
